ID	URL	Title	Author	Year	Language	License
3359	http://ota.ox.ac.uk/text/3359.txt	The man of ten thousand: a comedy. As it is acted at the Theatre-Royal, Drury-Lane. The second edition. By Thomas Holcroft.	Holcroft, Thomas, 1745-1809.	1796.	English	CC BY-SA
4017	http://ota.ox.ac.uk/text/4017.txt	A letter from the Right Hon. Edmund Burke, M.P. in the kingdom of Great Britain, to Sir Hercules Langrishe: Bart. M.P. on the subject of Roman Catholics of Ireland, and the propriety of admitting them to the elective franchise, consistently with the principles of the constitution as established at the Revolution.	Burke, Edmund, 1729-1797.	1792.	English	CC BY-SA
4895	http://ota.ox.ac.uk/text/4895.txt	A descriptive account of the islands lately discovered in the South-Seas: Giving a full detail of the present state of the inhabitants, their government, religion, ... by the Reverend Dr. John Trusler, ...	Trusler, John, 1735-1820.	1778.	English	CC BY-SA
4393	http://ota.ox.ac.uk/text/4393.txt	Richard Coeur de Lion: A comic opera, as performed at the Theatre Royal Covent Garden. Taken from a French comedy of the same name, written by Monsieur Sedaine; by Leonard Macnally, Esq.	MacNally, Leonard, 1752-1820.	1786.	English	CC BY-SA
3768	http://ota.ox.ac.uk/text/3768.txt	The Lord's cup: or, the dispensations of providence with regard to good and evil, considered in a sermon; by William Gilpin,...	Gilpin, William, 1724-1804.	1797.	English	CC BY-SA
4432	http://ota.ox.ac.uk/text/4432.txt	The shepherds lottery. A musical entertainment: As it is perform'd by His Majesty's Company of comedians at the Theatre-Royal in Drury-Lane. The music compos'd by Dr. Boyce.	Mendez, Moses, d. 1758.	1751.	English	CC BY-SA
3872	http://ota.ox.ac.uk/text/3872.txt	The beau's duel: or a soldier for the ladies. A comedy, as it is acted at the New Theater in Lincolns-Inn-Fields, by Her Majesties servants.	Centlivre, Susanna, 1667?-1723.	1702.	English	CC BY-SA
5049	http://ota.ox.ac.uk/text/5049.txt	The habitable world described: or the present state of the people in all parts of the globe, from north to south; shewing the situation, extent, climate, ... including all the new discoveries: ... With a great variety of maps and copper-plates, ... By the Rev. Dr. John Trusler. ... [pt.15]	Trusler, John, 1735-1820.	1788-97.	English	CC BY-SA
4834	http://ota.ox.ac.uk/text/4834.txt	The spirit of masonry in moral and elucidatory lectures: By Wm Hutchinson ...	Hutchinson, William, 1732-1814.	1775.	English	CC BY-SA
3540	http://ota.ox.ac.uk/text/3540.txt	Reflections on the late alarming bankruptcies in Scotland: Addressed to all ranks: ... with advice to such, how to conduct themselves at this crisis.	Boswell, James, 1740-1795.	[1772]	English	CC BY-SA
3813	http://ota.ox.ac.uk/text/3813.txt	Calvary: or the death of Christ. A poem, in eight books. By Richard Cumberland.	Cumberland, Richard, 1732-1811.	1792.	English	CC BY-SA
